student_country,days_on_platform,minutes_watched,courses_started,practice_exams_started,practice_exams_passed,minutes_spent_on_exams,purchased
US,288,358.1,1,2,2,15.81,0
SG,260,1.7,1,1,0,16,0
TR,260,22.4,1,1,0,0.93,0
KE,259,18.8,1,1,1,14.63,0
IN,259,118,2,2,1,16.48,0
IN,252,143.8,1,3,3,11.57,0
LK,251,0.2,1,1,0,0.88,0
US,254,103.9,3,1,1,15.55,0
TR,249,16.1,2,1,0,10,0
BG,244,8.4,1,2,2,9.73,0
IT,5,252.4,3,4,4,12.6,1
US,12,366.7,5,1,0,3.27,1
ES,240,189,2,1,1,9.98,0
US,236,84.7,2,1,1,11.57,0
PH,235,94.5,2,2,1,12.28,0
BD,234,3.7,1,1,0,4.68,0
IT,233,24.9,1,2,2,12.69,0
US,237,29.8,2,1,1,8.93,0
CA,230,34.4,1,1,1,2.52,0
VN,229,19.9,1,1,1,7.45,0
PT,228,8.6,1,1,0,1.72,0
JP,228,61.8,2,1,1,6.98,0
ET,228,2,1,1,1,3.38,0
PS,239,1118.3,8,3,2,3.83,0
IN,221,2.2,1,1,0,2.38,0
TR,221,0.4,1,1,1,5.15,0
PK,220,4.5,1,1,0,2.2,0
AZ,243,20.4,2,1,1,13.07,0
NG,218,42.9,1,2,1,21.71,0
KW,4,112.6,1,4,4,12.22,1
US,216,360.2,4,2,2,2.42,0
ZA,211,14.3,1,1,1,16,0
FR,0,78.4,1,3,2,5.98,1
TR,207,246.1,2,4,2,6.23,0
KE,205,25.6,1,2,0,15.92,0
PK,204,5.5,3,2,2,10.99,0
AR,203,2.1,1,1,0,3.53,0
MK,206,72.9,3,1,0,16,0
TH,201,29.9,1,2,2,32,0
MA,201,10,1,1,1,4,0
AZ,11,190.8,4,7,6,29.02,1
TN,235,42.1,1,1,0,11.23,0
IN,46,429.2,5,1,1,5.22,1
EG,204,17.8,1,5,3,10.97,0
GB,12,114,3,1,1,11.65,1
OM,190,0.5,1,1,0,10,0
RU,189,43.2,1,1,1,5.43,0
NG,193,41.1,1,2,1,14.01,0
KE,210,23,1,3,2,9.79,0
ET,184,18.7,1,3,2,17.84,0
NG,37,125.5,2,2,2,6.05,1
AZ,181,0.7,1,1,0,7.65,0
SE,181,189,2,3,1,7.1,0
IN,180,117,1,1,0,4.97,0
PT,186,94.3,2,1,1,7.48,0
IN,180,173.9,3,1,1,14.3,0
DE,168,20,1,1,1,6.77,0
US,210,136.6,1,1,1,4.82,0
EG,164,87.1,1,2,1,10.8,0
AL,163,37.7,1,2,2,12.04,0
AZ,165,14.4,2,1,1,9.83,0
PH,173,545.4,5,2,2,16.73,0
PL,160,41.5,1,2,1,10.92,0
NG,164,57.4,2,2,1,5.8,0
US,157,31.9,1,1,1,4.98,0
NG,160,205.4,2,1,0,15.98,0
KE,156,67.3,1,2,2,16.68,0
MD,168,273.6,4,1,1,7.58,0
US,155,19.2,1,1,1,4.55,0
KE,152,35.9,1,1,1,6.9,0
TR,149,47.3,1,2,1,30.2,0
US,0,75.8,1,1,0,15,1
TH,2,114.1,1,2,2,3.96,1
IN,144,0.2,1,3,1,17.8,0
ES,16,143.8,3,5,4,30.03,1
CA,142,51.2,2,1,1,7.48,0
BR,169,12.8,2,1,0,10,0
EG,229,38.5,2,1,0,0.7,0
US,0,71.1,1,3,3,23.27,1
SG,4,138.9,3,1,1,12.25,1
US,139,33.1,2,2,1,6.62,0
IN,148,1193.4,7,5,3,20.34,0
GB,139,1248.9,5,1,1,6.92,0
EG,140,19.9,1,1,1,6.9,0
NP,139,36.6,1,3,2,20.72,0
US,137,21.2,1,1,0,16,0
TN,140,41.5,1,1,1,2.25,0
VN,139,146.8,2,2,1,0.94,0
PK,133,21,1,2,1,22.2,0
IN,134,72.8,2,1,0,1.25,0
DZ,132,43.6,1,2,2,10.93,0
CA,131,2.6,1,1,1,2.43,0
IN,133,10.3,1,1,0,10,0
EG,140,38.2,1,1,1,3.5,0
LB,134,51.9,1,1,1,4.27,0
IN,276,75.1,1,1,1,9.32,0
TW,128,29.6,1,2,1,7.3,0
TN,131,40,1,1,1,2.77,0
KE,129,19.4,1,1,1,16,0
NL,128,243.2,5,2,2,20.77,0
EG,126,0.2,1,1,0,10,0
PT,126,18.6,1,1,0,16,0
PK,176,466.2,5,2,1,13.59,0
